"",".id","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"180","station","187","21st St & Pennsylvania Ave NW","31252","1395844145755","38.901539","-77.046564","true","false","1340811180000","false","true","19","0","1395842461124"
"181","station","188","19th & K St NW","31253","1395844326439","38.902204","-77.04337","true","false","1340801880000","false","true","23","0","1395844084437"
"182","station","189","Prince St & Union St","31041","1395844186501","38.803124","-77.040363","true","false","1346070420000","false","true","8","11","1395808213975"
"183","station","190","Market Square / King St & Royal St","31042","1395844163761","38.804718","-77.043363","true","false","1346077680000","false","true","9","6","1395838272445"
"184","station","191","Saint Asaph St & Pendleton  St","31043","1395844246375","38.810743","-77.044664","true","false","1346084880000","false","true","11","4","1395838858329"
"185","station","192","King St & Patrick St","31044","1395844174876","38.805317","-77.049883","true","false","1346442900000","false","true","12","3","1395843289301"
"186","station","193","15th & K St NW","31254","1395844353920","38.902","-77.03353","true","false","1341232920000","false","true","8","11","1395843011354"
"187","station","194","Commerce St & Fayette St","31045","1395844269622","38.805648","-77.05293","true","false","1346442960000","false","true","8","7","1395838903289"
"188","station","195","Henry St & Pendleton St","31046","1395844254455","38.811456","-77.050276","true","false","1346442960000","false","true","10","7","1395778042268"
"189","station","196","Braddock Rd Metro","31047","1395844132492","38.814577","-77.052808","true","false","1346442960000","false","true","12","7","1395842265138"
"190","station","197","King St Metro","31048","1395844309727","38.805767","-77.06072","true","false","1346443020000","false","true","6","13","1395843040812"
"191","station","198","24th & N St NW","31255","1395844281221","38.9066","-77.05152","true","false","1341575340000","false","true","14","1","1395841955731"
"192","station","199","10th & E St NW","31256","1395844166138","38.895914","-77.026064","true","false","1342109700000","false","true","15","0","1395843681692"
"193","station","200","22nd & I St NW / Foggy Bottom","31257","1395844162219","38.90088","-77.048911","true","false","1342442220000","false","true","13","2","1395844134731"
"194","station","201","Utah St & 11th St N ","31049","1395844188199","38.883669","-77.113905","true","false","1342539420000","false","true","5","6","1395838674538"
"195","station","202","Barton St & 10th St N","31050","1395844303842","38.884961","-77.08777","true","false","1346771820000","false","true","5","6","1395772075977"
"196","station","203","Arlington Blvd & N Queen St","31051","1395844310895","38.889365","-77.077294","true","false","1346776740000","false","true","7","4","1395841895463"
"197","station","204","Lincoln Memorial","31258","1395844216751","38.888251","-77.049426","true","false","1349268360000","false","true","4","21","1395837829779"
"198","station","206","20th St & Virginia Ave NW","31259","1395844294286","38.894722","-77.045128","true","false","1359646980000","false","true","7","7","1395843811339"
"199","station","207","5th St & Massachusetts Ave NW","31265","1395844168670","38.90093","-77.018677","true","false","1367842440000","false","true","1","18","1395843684660"
"200","station","208","39th & Veazey St NW","31308","1395844322725","38.943837","-77.077078","true","false","1360598160000","false","true","11","4","1395842107659"
"201","station","209","Fessenden St & Wisconsin Ave NW","31309","1395844312684","38.954812","-77.082426","true","false","1360588560000","false","true","10","5","1395840911190"
"202","station","210","M St & Delaware Ave NE","31627","1395844352319","38.905707","-77.003041","true","false","1360929900000","false","true","22","1","1395844351585"
"203","station","211","Columbia Pike & S Courthouse Rd","31053","1395844248717","38.863833","-77.080319","true","false","1364482620000","false","true","9","6","1395844006224"
"204","station","212","Walter Reed Community Center / Walter Reed Dr & 16th St S","31054","1395844328773","38.857803","-77.086733","true","false","1364466180000","false","true","5","6","1395832305795"
"205","station","213","28th St S & S Meade St","31055","1395844244905","38.846222","-77.069275","true","false","1364476320000","false","true","9","6","1395836831037"
"206","station","214","18th St & Wyoming Ave NW","31114","1395844205048","38.918809","-77.041571","true","false","1365003300000","false","true","6","17","1395843479864"
"207","station","215","5th & Kennedy St NW","31403","1395844161754","38.956595","-77.019815","true","false","1365777420000","false","true","9","6","1395836525959"
"208","station","216","Georgia Ave & Emerson St NW","31405","1395844341822","38.949662","-77.027333","true","false","1365783540000","false","true","13","6","1395838458198"
"209","station","217","14th & Upshur St NW","31406","1395844168555","38.942016","-77.032652","true","false","1365794820000","false","true","17","2","1395835054400"
"210","station","218","14th St & Colorado Ave NW","31407","1395844271752","38.956432","-77.032947","true","false","1365798900000","false","true","13","6","1395836097504"
"211","station","219","S Troy St & 26th St S","31056","1395844146110","38.847977","-77.075104","true","false","1366725840000","false","true","4","7","1395833926813"
"212","station","220","S Four Mile Run Dr & S Shirlington Rd","31057","1395844261931","38.8444","-77.085931","true","false","1366729200000","false","true","9","2","1395841165741"
